player_name,tf_season,days_remaining
Mile Svilar,2022,
Ferro,2022,501.0
Ferro,2022,716.0
Ferro,2021,881.0
Ferro,2020,1246.0
Jan Vertonghen,2022,301.0
Tomás Araújo,2022,
Sandro Cruz,2022,708.0
Valentino Lazaro,2021,0.0
André Almeida,2022,
André Almeida,2011,4379.0
Julian Weigl,2022,668.0
Florentino,2021,1034.0
Florentino,2020,2469.0
Gedson Fernandes,2022,1095.0
Gedson Fernandes,2021,1243.0
Gedson Fernandes,2020,879.0
Gedson Fernandes,2019,1262.0
Soualiho Meïté,2022,1398.0
Paulo Bernardo,2022,1611.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Éverton,2022,1078.0
Nemanja Radonjić,2021,0.0
Diogo Gonçalves,2022,907.0
Diogo Gonçalves,2019,1095.0
Diogo Gonçalves,2018,2556.0
Gil Dias,2022,1247.0
Tiago Gouveia,2022,704.0
Luca Waldschmidt,2021,1408.0
Darwin Núñez,2022,1095.0
Roman Yaremchuk,2022,1401.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Carlos Vinícius,2022,668.0
Carlos Vinícius,2021,1034.0
Carlos Vinícius,2020,1367.0
Henrique Araújo,2022,1619.0
Rodrigo Pinho,2022,1276.0
Helton Leite,2022,892.0
Mile Svilar,2022,
Ferro,2022,501.0
Ferro,2022,716.0
Ferro,2021,881.0
Ferro,2020,1246.0
Jan Vertonghen,2022,301.0
Tomás Araújo,2022,
Sandro Cruz,2022,708.0
Valentino Lazaro,2021,0.0
André Almeida,2022,
André Almeida,2011,4379.0
Julian Weigl,2022,668.0
Florentino,2021,1034.0
Florentino,2020,2469.0
Gedson Fernandes,2022,1095.0
Gedson Fernandes,2021,1243.0
Gedson Fernandes,2020,879.0
Gedson Fernandes,2019,1262.0
Soualiho Meïté,2022,1398.0
Paulo Bernardo,2022,1611.0
Adel Taarabt,2022,279.0
Adel Taarabt,2018,730.0
Adel Taarabt,2016,1267.0
Pizzi,2022,338.0
Pizzi,2021,507.0
Pizzi,2013,3624.0
Éverton,2022,1078.0
Nemanja Radonjić,2021,0.0
Diogo Gonçalves,2022,907.0
Diogo Gonçalves,2019,1095.0
Diogo Gonçalves,2018,2556.0
Gil Dias,2022,1247.0
Tiago Gouveia,2022,704.0
Luca Waldschmidt,2021,1408.0
Darwin Núñez,2022,1095.0
Roman Yaremchuk,2022,1401.0
Haris Seferovic,2022,516.0
Haris Seferovic,2022,711.0
Carlos Vinícius,2022,668.0
Carlos Vinícius,2021,1034.0
Carlos Vinícius,2020,1367.0
Henrique Araújo,2022,1619.0
Rodrigo Pinho,2022,1276.0
Florentino,2021,1034.0
Florentino,2020,2469.0
Chiquinho,2021,874.0
Chiquinho,2021,1034.0
Chiquinho,2018,1802.0
Julian Draxler,2022,0.0
Gonçalo Guedes,2022,0.0
Gonçalo Guedes,2016,1617.0
